cole_depto_ubicacion,cole_mcpio_ubicacion,estu_depto_presentacion,estu_depto_reside,fami_tienecomputador,fami_tieneinternet,punt_matematicas,punt_lectura_critica,punt_ingles,punt_c_naturales,punt_sociales_ciudadanas,punt_global,grupo_tec
SANTANDER,VELEZ,SANTANDER,SANTANDER,Si,No,33.0,23.0,45.0,36.0,38.0,167.0,Solo computador
SANTANDER,CAPITANEJO,SANTANDER,SANTANDER,Si,No,83.0,59.0,52.0,69.0,60.0,333.0,Solo computador
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,65.0,59.0,60.0,63.0,65.0,314.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,65.0,59.0,60.0,63.0,65.0,314.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,No,50.0,63.0,55.0,61.0,63.0,295.0,Sin acceso
SANTANDER,VELEZ,SANTANDER,SANTANDER,No,No,72.0,46.0,41.0,57.0,49.0,274.0,Sin acceso
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,70.0,70.0,63.0,70.0,65.0,342.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,70.0,70.0,63.0,70.0,65.0,342.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,No,44.0,41.0,35.0,50.0,38.0,213.0,Solo computador
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,No,No,52.0,45.0,45.0,49.0,47.0,240.0,Sin acceso
SANTANDER,SIMACOTA,SANTANDER,SANTANDER,No,No,63.0,58.0,41.0,60.0,58.0,292.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,76.0,68.0,58.0,66.0,67.0,342.0,Computador + internet
SANTANDER,LEBRIJA,SANTANDER,SANTANDER,No,No,67.0,47.0,54.0,60.0,45.0,273.0,Sin acceso
SANTANDER,EL PLAYON,SANTANDER,SANTANDER,Si,No,44.0,51.0,41.0,53.0,44.0,237.0,Solo computador
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,Si,55.0,54.0,35.0,44.0,55.0,253.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,47.0,60.0,67.0,46.0,49.0,259.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,47.0,60.0,67.0,46.0,49.0,259.0,Computador + internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,Si,77.0,77.0,83.0,72.0,68.0,371.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,70.0,63.0,80.0,59.0,65.0,327.0,Computador + internet
SANTANDER,GIRON,SANTANDER,SANTANDER,No,No,69.0,68.0,50.0,54.0,57.0,305.0,Sin acceso
SANTANDER,GIRON,SANTANDER,SANTANDER,No,No,69.0,68.0,50.0,54.0,57.0,305.0,Sin acceso
SANTANDER,RIONEGRO,SANTANDER,SANTANDER,Si,No,74.0,71.0,53.0,63.0,66.0,337.0,Solo computador
SANTANDER,RIONEGRO,SANTANDER,SANTANDER,Si,No,74.0,71.0,53.0,63.0,66.0,337.0,Solo computador
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,65.0,67.0,65.0,76.0,65.0,340.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,No,73.0,69.0,64.0,68.0,60.0,336.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,No,73.0,69.0,64.0,68.0,60.0,336.0,Sin acceso
