PUNT_GLOBAL,_Cuartos_Hogar,_educacion_MADRE,_educacion_PADRE,Fami_Estrato,_Num_Pers_Hogar,cond_est,comb_padres
167.0,Tres,Primaria,Bachiller,Estrato 1,3 a 4,Tres_3 a 4,Primaria_Bachiller
333.0,Dos,Técnico o Tecnológico,Ninguno,Estrato 2,3 a 4,Dos_3 a 4,Técnico o Tecnológico_Ninguno
314.0,Tres,Bachiller,Primaria,Estrato 1,5 a 6,Tres_5 a 6,Bachiller_Primaria
314.0,Tres,Bachiller,Primaria,Estrato 1,5 a 6,Tres_5 a 6,Bachiller_Primaria
295.0,Cuatro o más,Primaria,Primaria,Estrato 3,3 a 4,Cuatro o más_3 a 4,Primaria_Primaria
274.0,Cuatro o más,Ninguno,Ninguno,Estrato 1,> 6,Cuatro o más_> 6,Ninguno_Ninguno
342.0,Dos,Técnico o Tecnológico,Técnico o Tecnológico,Estrato 3,3 a 4,Dos_3 a 4,Técnico o Tecnológico_Técnico o Tecnológico
342.0,Dos,Técnico o Tecnológico,Técnico o Tecnológico,Estrato 3,3 a 4,Dos_3 a 4,Técnico o Tecnológico_Técnico o Tecnológico
213.0,Tres,Bachiller,Bachiller,Estrato 2,1 a 2,Tres_1 a 2,Bachiller_Bachiller
240.0,Tres,Primaria,Primaria,Estrato 1,3 a 4,Tres_3 a 4,Primaria_Primaria
292.0,Tres,Bachiller,Primaria,Estrato 1,3 a 4,Tres_3 a 4,Bachiller_Primaria
342.0,Dos,Bachiller,Bachiller,Estrato 3,3 a 4,Dos_3 a 4,Bachiller_Bachiller
273.0,Tres,Ninguno,Primaria,Estrato 1,5 a 6,Tres_5 a 6,Ninguno_Primaria
237.0,Cuatro o más,Bachiller,Ninguno,Estrato 2,> 6,Cuatro o más_> 6,Bachiller_Ninguno
253.0,Dos,Bachiller,Bachiller,Estrato 3,5 a 6,Dos_5 a 6,Bachiller_Bachiller
259.0,Dos,Técnico o Tecnológico,Técnico o Tecnológico,Estrato >= 4,3 a 4,Dos_3 a 4,Técnico o Tecnológico_Técnico o Tecnológico
259.0,Dos,Técnico o Tecnológico,Técnico o Tecnológico,Estrato >= 4,3 a 4,Dos_3 a 4,Técnico o Tecnológico_Técnico o Tecnológico
371.0,Tres,Bachiller,Técnico o Tecnológico,Estrato 2,3 a 4,Tres_3 a 4,Bachiller_Técnico o Tecnológico
327.0,Cuatro o más,Bachiller,Profesional,Estrato 3,5 a 6,Cuatro o más_5 a 6,Bachiller_Profesional
305.0,Tres,Bachiller,Primaria,Estrato 1,3 a 4,Tres_3 a 4,Bachiller_Primaria
305.0,Tres,Bachiller,Primaria,Estrato 1,3 a 4,Tres_3 a 4,Bachiller_Primaria
337.0,Dos,Técnico o Tecnológico,Primaria,Estrato 2,3 a 4,Dos_3 a 4,Técnico o Tecnológico_Primaria
337.0,Dos,Técnico o Tecnológico,Primaria,Estrato 2,3 a 4,Dos_3 a 4,Técnico o Tecnológico_Primaria
340.0,Dos,Técnico o Tecnológico,Bachiller,Estrato >= 4,3 a 4,Dos_3 a 4,Técnico o Tecnológico_Bachiller
336.0,Uno,Primaria,No Sabe,Estrato 2,1 a 2,Uno_1 a 2,Primaria_No Sabe
336.0,Uno,Primaria,No Sabe,Estrato 2,1 a 2,Uno_1 a 2,Primaria_No Sabe
220.0,Tres,Bachiller,Bachiller,Estrato 1,3 a 4,Tres_3 a 4,Bachiller_Bachiller
